in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
7,3,1,14,14,3620.078193,1808,1808,1176,1176,786,786,23.126713,21.071103
8,3,1,14,14,3784.503458,1758,1758,1138,1138,765,765,23.08401,20.776027
4,0,2,14,14,3006.121989,2094,2094,1431,1431,800,800,23.338835,21.891188
5,0,2,14,14,3206.1299,1917,1917,1279,1279,767,767,23.484515,21.699191
6,0,2,14,14,3359.814762,1840,1840,1209,1209,762,762,23.285297,21.213466
7,0,2,14,14,3547.119845,1780,1780,1159,1159,739,739,23.066012,20.764792
8,0,2,14,14,3691.788306,1732,1732,1122,1122,720,720,23.002834,20.436715
4,1,2,14,14,3037.104857,2141,2141,1480,1480,786,786,22.965214,21.633588
5,1,2,14,14,3217.351231,1942,1942,1306,1306,770,770,23.464054,21.806604
6,1,2,14,14,3379.373176,1851,1851,1219,1219,756,756,23.065468,21.168963
7,1,2,14,14,3587.166401,1791,1791,1173,1173,737,737,22.787081,20.61386
8,1,2,14,14,3735.985493,1747,1747,1140,1140,726,726,22.806369,20.394561
4,2,2,14,14,3058.796669,2168,2168,1501,1501,808,808,23.141969,21.866322
5,2,2,14,14,3220.354617,1958,1958,1318,1318,790,790,23.671036,22.081785
6,2,2,14,14,3397.750379,1867,1867,1235,1235,775,775,23.242339,21.405614
7,2,2,14,14,3591.241383,1801,1801,1179,1179,753,753,22.940585,20.838269
8,2,2,14,14,3741.086194,1757,1757,1144,1144,744,744,22.91924,20.556264
4,3,2,14,14,3025.513299,2108,2108,1451,1451,782,782,23.078592,21.741874
5,3,2,14,14,3201.885454,1925,1925,1289,1289,764,764,23.329381,21.653414
6,3,2,14,14,3379.961231,1838,1838,1207,1207,749,749,22.951926,21.024591
7,3,2,14,14,3569.462103,1779,1779,1161,1161,726,726,22.741357,20.577542
8,3,2,14,14,3718.423303,1726,1726,1119,1119,706,706,22.759134,20.327878
4,0,3,14,14,3009.669299,2095,2095,1446,1446,750,750,22.679017,21.297099
5,0,3,14,14,3187.413382,1914,1914,1282,1282,732,732,23.050716,21.33947
6,0,3,14,14,3389.192509,1832,1832,1207,1207,713,713,22.696592,20.708125
7,0,3,14,14,3555.094908,1766,1766,1154,1154,687,687,22.569507,20.332902
8,0,3,14,14,3710.057022,1731,1731,1128,1128,674,674,22.587804,20.109915
4,1,3,14,14,3011.806674,2111,2111,1467,1467,734,734,22.509091,21.214211
5,1,3,14,14,3213.16177,1928,1928,1299,1299,712,712,22.771165,21.16088
6,1,3,14,14,3396.194983,1845,1845,1222,1222,700,700,22.468928,20.607641
7,1,3,14,14,3575.441816,1772,1772,1168,1168,674,674,22.322434,20.193847
8,1,3,14,14,3706.696839,1726,1726,1127,1127,665,665,22.290011,19.903234
4,2,3,14,14,3053.835394,2167,2167,1510,1510,764,764,22.606666,21.379347
5,2,3,14,14,3203.330741,1958,1958,1325,1325,747,747,23.151596,21.641589
6,2,3,14,14,3420.333173,1870,1870,1243,1243,728,728,22.60373,20.845392
7,2,3,14,14,3587.227497,1799,1799,1183,1183,708,708,22.518023,20.481866
8,2,3,14,14,3728.8594,1748,1748,1144,1144,697,697,22.52475,20.258769
4,3,3,14,14,3005.954959,2121,2121,1474,1474,741,741,22.609007,21.355375
5,3,3,14,14,3203.620331,1936,1936,1305,1305,716,716,22.766557,21.211235
6,3,3,14,14,3396.453512,1847,1847,1225,1225,691,691,22.337453,20.55112
7,3,3,14,14,3562.968875,1778,1778,1169,1169,672,672,22.214281,20.149907
8,3,3,14,14,3708.165137,1730,1730,1130,1130,658,658,22.215609,19.86745
4,0,-2,18,14,3267.87099,2448,2448,1724,1724,856,856,22.778176,22.029734
5,0,-2,18,14,3420.077189,2202,2202,1516,1516,848,848,24.218155,23.25365
6,0,-2,18,14,3617.030889,2045,2045,1382,1382,821,821,23.646722,22.492994
